ProductID,ProductName,Category,Price,Rating,NumReviews,StockQuantity,Discount,Sales,DateAdded,City
98,Microwave,Home & Kitchen,412.68,2.4,4777,828,0.02,837,11-06-2024,Charlotte
240,Vitamin D,Vitamins and supplements,289.6,1.1,1863,344,0.34,800,11-06-2024,Grand Rapids
817,Nail Polish,Nail care,376.82,2.9,3010,435,0.27,1945,10-06-2024,Allentown
211,Fish Oil,Vitamins and supplements,113.07,2.4,935,927,0.47,1888,10-06-2024,Charleston
931,Screen Protector,Mobile phone accessories,293.59,3.5,1601,825,0.35,1622,10-06-2024,Pittsburgh
600,Cotton Socks,Socks,395.05,3.4,1520,155,0.38,1295,10-06-2024,Worcester
945,Phone Case,Mobile phone accessories,99.88,1,4025,870,0.07,946,10-06-2024,Miami
502,Eau de Parfum,Perfume and cologne,204.83,2.1,4873,97,0.24,207,10-06-2024,Austin
148,Science Book,Books,425.58,1.5,914,547,0.32,81,10-06-2024,Little Rock
855,Boxers,Underwear,125.44,2.2,220,594,0.12,521,08-06-2024,Indianapolis
170,Puzzle,Toys & Games,176.54,3.9,4459,38,0.16,496,08-06-2024,Harrisburg
408,Paint Set,Art and crafting materials,303.57,2.4,3630,139,0.02,1781,07-06-2024,Oklahoma City
846,Boxers,Underwear,203.1,4.4,253,187,0.40,782,07-06-2024,Columbia
86,Blender,Home & Kitchen,41.12,1.1,510,384,0.01,822,06-06-2024,Grand Rapids
726,Body Scrub,Bath and body,329.96,3.3,813,248,0.05,322,06-06-2024,New Orleans
70,Jacket,Clothing,67.36,1.6,953,491,0.43,1253,05-06-2024,Staten Island
508,Eau de Toilette,Perfume and cologne,316.35,2.5,283,448,0.01,1091,05-06-2024,Mesa
760,Bath Salts,Bath and body,131.78,2.3,1577,272,0.15,972,05-06-2024,Philadelphia
197,Board Game,Toys & Games,495.17,3.7,4811,675,0.32,947,05-06-2024,Detroit
494,Perfume Oil,Perfume and cologne,316.26,2.3,3093,882,0.25,839,05-06-2024,Albany
215,Protein Powder,Vitamins and supplements,474.2,3.5,1107,317,0.31,382,05-06-2024,Wichita
536,Red Wine,Wine,175.23,1.6,4166,268,0.20,304,05-06-2024,Provo
346,Leather Jacket,Coats and jackets,331.82,4.3,4402,778,0.10,1609,04-06-2024,Rochester
628,Linen Sheets,Bedsheets,347.49,4.6,1232,21,0.24,1231,04-06-2024,Grand Rapids
457,Water Bottle,Drinkware,277.82,2.7,1757,2,0.08,1116,04-06-2024,Boise
237,Vitamin D,Vitamins and supplements,336.76,1.6,4403,335,0.47,891,04-06-2024,McAllen
462,Coffee Mug,Drinkware,480.47,3.1,929,246,0.20,361,04-06-2024,Des Moines
206,Vitamin D,Vitamins and supplements,245.95,1.5,3344,893,0.34,1763,03-06-2024,McAllen
851,Panties,Underwear,20.29,1.1,4452,255,0.44,1755,03-06-2024,Cleveland
748,Body Scrub,Bath and body,17.16,2.4,478,14,0.19,1191,03-06-2024,Las Vegas
751,Body Lotion,Bath and body,112.12,1.5,66,495,0.16,767,03-06-2024,Allentown
856,Panties,Underwear,324.96,3.9,4310,971,0.12,100,03-06-2024,Charleston
229,Vitamin D,Vitamins and supplements,298.32,3.4,4396,918,0.23,1418,02-06-2024,Birmingham
884,Spark Plugs,Motor vehicle parts,177.61,4.2,3392,724,0.11,640,02-06-2024,Long Beach
314,Foundation,Makeup,441.91,2.1,1855,873,0.33,472,02-06-2024,Manhattan
83,Microwave,Home & Kitchen,413.04,4.8,255,708,0.31,449,02-06-2024,Bronx
580,Wool Socks,Socks,487.92,4.3,3135,809,0.47,1938,01-06-2024,Atlanta
128,Science Book,Books,324.16,3.8,793,810,0.30,1683,01-06-2024,Des Moines
304,Blush,Makeup,65.84,2.9,3983,287,0.31,1249,01-06-2024,Cleveland
848,Thongs,Underwear,341.44,2.2,3823,739,0.38,576,01-06-2024,Oklahoma City
281,Mascara,Makeup,43.4,1.1,536,78,0.48,1979,31-05-2024,Akron
79,Jacket,Clothing,232.73,3.5,3330,655,0.37,970,31-05-2024,Palm Bay
426,Sketchbook,Art and crafting materials,359.84,4.3,2307,204,0.46,775,31-05-2024,San Jose
248,Cleanser,Skin care,476.22,4.4,1947,628,0.41,664,31-05-2024,Bronx
59,T-Shirt,Clothing,407.49,4.3,3913,42,0.10,396,31-05-2024,Palm Bay
597,Ankle Socks,Socks,175.45,5,2334,765,0.26,1619,30-05-2024,Tucson
44,T-Shirt,Clothing,76.94,3.8,2806,537,0.41,920,30-05-2024,Ogden
425,Sketchbook,Art and crafting materials,102.04,3.9,1589,563,0.32,1905,29-05-2024,Bonita Springs
78,Sweater,Clothing,46.16,3.2,3512,401,0.08,1328,29-05-2024,Pittsburgh
991,Throw Blanket,Blankets,48.75,2.8,2737,588,0.48,991,28-05-2024,Ogden
744,Bath Salts,Bath and body,298.17,2.3,220,914,0.40,1048,27-05-2024,Akron
369,Mountain Bike,Bicycles,33.59,4.6,4008,631,0.09,694,27-05-2024,Allentown
865,Thongs,Underwear,109.96,4.3,4020,83,0.03,667,27-05-2024,Grand Rapids
705,Soy Candle,Candles,269.69,3.7,1869,376,0.20,507,27-05-2024,Bridgeport
665,Digital Art,Posters and artwork,211.48,2.7,2363,983,0.28,143,27-05-2024,Fort Worth
654,Digital Art,Posters and artwork,193.61,3.2,4987,11,0.21,1578,26-05-2024,Baltimore
980,Fleece Blanket,Blankets,206.17,4.8,4293,555,0.24,1452,26-05-2024,Pittsburgh
468,Wine Glass,Drinkware,202.3,4,3696,358,0.29,717,26-05-2024,Akron
442,Water Bottle,Drinkware,357.6,4.8,674,920,0.37,613,26-05-2024,Bakersfield
895,Brake Pads,Motor vehicle parts,180.43,3.5,3905,3,0.04,599,26-05-2024,Mesa
891,Car Battery,Motor vehicle parts,104.21,2.2,4681,462,0.29,121,26-05-2024,Concord
651,Canvas Print,Posters and artwork,463.97,2.7,3066,330,0.21,1778,25-05-2024,Jacksonville
966,Fleece Blanket,Blankets,136.57,4.5,2720,618,0.22,1770,25-05-2024,Rochester
224,Vitamin D,Vitamins and supplements,145.65,3.4,1269,636,0.11,1260,25-05-2024,Denver
780,Frying Pan,Cookware,62.93,1.9,2921,471,0.02,12,25-05-2024,Charlotte
140,Biography,Books,110.52,1.8,4524,476,0.24,1447,24-05-2024,Charlotte
533,Rose Wine,Wine,377.2,3.3,2410,508,0.21,1312,24-05-2024,Tucson
258,Toner,Skin care,387.27,3.2,4954,292,0.15,663,24-05-2024,Spokane
497,Eau de Parfum,Perfume and cologne,369.02,2.6,887,58,0.18,49,24-05-2024,Wichita
316,Mascara,Makeup,382.89,1.1,2256,973,0.10,1441,23-05-2024,Phoenix
149,Novel,Books,410.55,2.4,4841,385,0.18,1142,23-05-2024,Little Rock
904,Oil Filter,Motor vehicle parts,227.87,1.1,4934,65,0.46,446,23-05-2024,Bonita Springs
543,Sparkling Wine,Wine,277.34,4.9,4177,833,0.26,334,23-05-2024,Milwaukee
351,Leather Jacket,Coats and jackets,442.38,4.2,3958,15,0.49,1132,22-05-2024,Las Vegas
660,Canvas Print,Posters and artwork,202.04,3.8,3498,829,0.49,1891,21-05-2024,Denton
36,Smartwatch,Electronics,375.78,3.6,1218,400,0.15,687,21-05-2024,Seattle
824,Nail Clippers,Nail care,184.49,3.7,142,191,0.41,580,20-05-2024,New Orleans
433,Brushes,Art and crafting materials,12.14,1.7,3988,234,0.33,928,19-05-2024,Harrisburg
67,Sweater,Clothing,246.44,3,143,884,0.05,395,18-05-2024,Kansas City
565,Ankle Socks,Socks,12.62,4.8,4804,852,0.20,338,18-05-2024,Fresno
804,Nail Polish,Nail care,345.1,1.1,2494,985,0.16,73,18-05-2024,Louisville
165,Puzzle,Toys & Games,364.81,3.5,3726,570,0.49,1900,17-05-2024,Tampa
885,Spark Plugs,Motor vehicle parts,80.34,1.7,4198,891,0.26,1903,16-05-2024,Dayton
299,Mascara,Makeup,236.35,5,4531,398,0.47,498,15-05-2024,Austin
294,Foundation,Makeup,60.05,3.6,424,128,0.40,1583,14-05-2024,Milwaukee
71,Jeans,Clothing,353.47,1.3,2993,794,0.35,1540,14-05-2024,Chicago
499,Eau de Toilette,Perfume and cologne,369.41,1.5,3474,127,0.38,759,14-05-2024,Detroit
183,Action Figure,Toys & Games,448.51,4.4,1290,616,0.20,634,14-05-2024,Albuquerque
548,Rose Wine,Wine,341.96,4,3426,484,0.10,43,14-05-2024,Sacramento
961,Throw Blanket,Blankets,438.03,1.9,3697,490,0.37,891,13-05-2024,Bakersfield
330,Denim Jacket,Coats and jackets,367.46,4.1,685,827,0.07,1592,12-05-2024,Boise
924,Charger,Mobile phone accessories,319.21,1.1,4343,787,0.26,1325,12-05-2024,St. Louis
956,Earbuds,Mobile phone accessories,77.49,1.2,1468,757,0.03,575,12-05-2024,Provo
983,Fleece Blanket,Blankets,194.73,4.9,3677,173,0.01,219,12-05-2024,Bakersfield
799,Dutch Oven,Cookware,320.3,2.8,2728,662,0.37,1337,11-05-2024,Bakersfield
58,T-Shirt,Clothing,434.93,3.5,851,663,0.34,1698,10-05-2024,Minneapolis
94,Blender,Home & Kitchen,82.07,4.7,2832,507,0.03,68,09-05-2024,El Paso
7,Laptop,Electronics,57.86,3.7,1478,427,0.25,1966,08-05-2024,Cleveland
415,Sketchbook,Art and crafting materials,75.87,2.2,1999,203,0.40,1687,08-05-2024,Chicago
118,Coffee Maker,Home & Kitchen,482.86,1.5,375,458,0.47,587,08-05-2024,Albany
934,Charger,Mobile phone accessories,116.69,3.5,1836,921,0.24,535,08-05-2024,Manhattan
159,Biography,Books,204.36,4.8,4501,68,0.24,1785,07-05-2024,Baltimore
519,Body Spray,Perfume and cologne,322.6,4.3,679,419,0.27,1642,06-05-2024,Memphis
400,Road Bike,Bicycles,380.54,2.8,4637,937,0.45,124,06-05-2024,Cincinnati
417,Canvas,Art and crafting materials,154.36,1.1,1088,291,0.42,0,06-05-2024,San Diego
560,Red Wine,Wine,223.85,3.7,2378,992,0.29,1791,05-05-2024,Detroit
515,Eau de Toilette,Perfume and cologne,302.58,3.4,1629,303,0.17,1361,05-05-2024,Dayton
985,Fleece Blanket,Blankets,177.42,4.8,340,860,0.36,1340,05-05-2024,Oakland
300,Lipstick,Makeup,95.31,1.4,2037,351,0.03,137,05-05-2024,Bakersfield
361,Road Bike,Bicycles,186.59,1.3,1336,628,0.20,1677,04-05-2024,Columbia
307,Lipstick,Makeup,444.59,3.6,4066,121,0.41,1654,04-05-2024,Mission Viejo
706,Beeswax Candle,Candles,84.21,2.7,4516,528,0.26,941,04-05-2024,San Francisco
847,Panties,Underwear,450.63,3.5,654,361,0.24,1798,03-05-2024,Akron
187,Board Game,Toys & Games,252.62,2.9,2396,114,0.41,1591,03-05-2024,Buffalo
470,Coffee Mug,Drinkware,103.88,4.7,3699,854,0.25,1738,02-05-2024,Los Angeles
226,Fish Oil,Vitamins and supplements,126.4,4.9,374,292,0.43,1004,02-05-2024,Columbus
787,Saucepan,Cookware,152.77,2.7,3605,458,0.45,1436,01-05-2024,Salt Lake City
123,Fantasy Book,Books,122.22,3.2,197,645,0.17,1202,01-05-2024,Port St. Lucie
716,Beeswax Candle,Candles,244.38,1.1,3733,415,0.41,196,01-05-2024,Baton Rouge
833,Nail Clippers,Nail care,462.1,3,4505,421,0.42,1724,29-04-2024,Virginia Beach
633,Bamboo Sheets,Bedsheets,313.43,2.3,4621,461,0.03,383,29-04-2024,Minneapolis
795,Grill Pan,Cookware,211.49,3.7,4846,500,0.20,210,28-04-2024,San Diego
398,Hybrid Bike,Bicycles,347.25,1.6,1399,343,0.25,74,28-04-2024,Birmingham
192,Toy Car,Toys & Games,282.53,4,1547,294,0.10,1548,27-04-2024,Providence
960,Phone Case,Mobile phone accessories,360.33,2,2705,596,0.31,947,27-04-2024,Orlando
82,Microwave,Home & Kitchen,352.1,3.1,2508,731,0.14,908,27-04-2024,Spokane
205,Protein Powder,Vitamins and supplements,18.75,4.2,692,535,0.46,898,27-04-2024,Cleveland
39,Headphones,Electronics,290.28,4.1,16,171,0.47,476,27-04-2024,New York
382,Mountain Bike,Bicycles,24.54,3.7,1517,658,0.23,126,27-04-2024,Miami
481,Eau de Toilette,Perfume and cologne,158.44,2.3,1135,410,0.14,1208,26-04-2024,Buffalo
347,Denim Jacket,Coats and jackets,184.77,4,484,596,0.16,904,26-04-2024,Oakland
767,Frying Pan,Cookware,278.97,1.8,2212,698,0.30,1762,25-04-2024,Fort Worth
100,Toaster,Home & Kitchen,401.71,3.5,2286,55,0.44,830,25-04-2024,Los Angeles
541,Rose Wine,Wine,16.55,2.6,2104,231,0.01,383,25-04-2024,Pittsburgh
944,Screen Protector,Mobile phone accessories,94.38,2.7,4766,242,0.42,1997,24-04-2024,Bonita Springs
427,Brushes,Art and crafting materials,87.73,4.5,4449,638,0.03,1739,24-04-2024,Cincinnati
814,Nail Polish,Nail care,304.68,2.4,4503,188,0.37,1152,24-04-2024,Nashville
204,Protein Powder,Vitamins and supplements,100.91,4.5,3380,519,0.39,1709,23-04-2024,New York
661,Art Print,Posters and artwork,448.89,2.2,3406,440,0.07,1311,23-04-2024,Dallas
370,Mountain Bike,Bicycles,420.69,2.1,2315,34,0.13,493,23-04-2024,Bonita Springs
46,Sweater,Clothing,444.44,1.1,4929,799,0.29,853,22-04-2024,Grand Rapids
97,Blender,Home & Kitchen,449.43,2.9,4188,671,0.09,633,22-04-2024,Concord
23,Smartwatch,Electronics,472.03,2.3,1495,232,0.20,1853,21-04-2024,Cincinnati
581,Cotton Socks,Socks,44.81,1.8,762,275,0.03,727,21-04-2024,Spokane
626,Silk Sheets,Bedsheets,398.85,1.1,1719,494,0.07,542,21-04-2024,Indianapolis
694,Pillar Candle,Candles,205.59,3.4,1243,576,0.49,327,21-04-2024,St. Louis
912,Spark Plugs,Motor vehicle parts,76.47,2,2597,452,0.47,737,20-04-2024,Harrisburg
414,Brushes,Art and crafting materials,369.67,4.1,4117,348,0.02,1858,19-04-2024,Virginia Beach
133,Biography,Books,125.59,1.7,1205,982,0.46,1854,18-04-2024,St. Louis
569,Knee-High Socks,Socks,470.57,3,4383,906,0.42,1178,18-04-2024,Colorado Springs
269,Moisturizer,Skin care,348.1,1.8,207,617,0.05,632,18-04-2024,Orlando
284,Lipstick,Makeup,286.58,1.8,4737,381,0.50,1276,17-04-2024,Albany
582,Ankle Socks,Socks,82.17,4.9,2040,807,0.06,235,17-04-2024,Minneapolis
837,Nail File,Nail care,257.41,4.1,3865,24,0.06,737,16-04-2024,Philadelphia
163,Board Game,Toys & Games,60.52,2.3,4090,816,0.07,329,16-04-2024,Denver
686,Beeswax Candle,Candles,270.62,4.5,3603,557,0.23,1918,15-04-2024,San Jose
740,Body Scrub,Bath and body,138.05,2.7,3472,27,0.26,1560,15-04-2024,Oakland
951,Screen Protector,Mobile phone accessories,95.24,1.2,4969,721,0.46,1555,15-04-2024,Virginia Beach
631,Cotton Sheets,Bedsheets,234.97,2.2,2722,59,0.06,981,15-04-2024,McAllen
